tweet,date_time,real_sentiment,real_distilbert_sentiment
"my favorite face in the world ☁️☁️☁️☁️☁️☁️☁️☁️☁️☁️ thanks for guiding me everyday 
I miss you 
https://t.co/FBwE2XRqTb",17/01/2017 04:18
💭 bout you,17/01/2017 02:55
love you i really truly do,17/01/2017 02:54
hi. love you. seventeen days. fuck.,17/01/2017 02:54
seventeen days • https://t.co/mqAA3kQ5ie,17/01/2017 02:53
♡ 🙏🏼 https://t.co/dyvQrOs9n5,16/01/2017 20:02
https://t.co/rSWFx8ZtFF,16/01/2017 04:37
pups at work 🎬 ♡ https://t.co/j56D7MlxDZ,16/01/2017 04:36
my Laf 💛 the kindest soul on earth  https://t.co/aRNwGfi8lr,16/01/2017 00:46
@chrissyteigen 🌹,16/01/2017 00:20
!!! https://t.co/Aucfu0WShd,15/01/2017 23:34
i mean https://t.co/Ap8T2xMquK,15/01/2017 21:56
mom is under there somewhere https://t.co/jHmq5pj9gy,15/01/2017 21:56
queens https://t.co/UahZDEMP9e,15/01/2017 21:55
♡ ♡ ♡ https://t.co/H4RJ8w08Cw,15/01/2017 20:34
"💛 eighteen days #dangerouswomantour ♡ 
bts pic by @jonescrow 🤗 https://t.co/0D5osDEHel",15/01/2017 19:36
hbd babygirl @DoveCameron i love you with all my heart,15/01/2017 06:49
i love you so much https://t.co/AxrnBLrjsR,15/01/2017 01:03
https://t.co/abbYeW2tY7,14/01/2017 20:32
ok back to work 💛 i love you 💛 nineteen days,14/01/2017 18:48
me too 💛 love you https://t.co/vjqj93Awwg,14/01/2017 18:47
always always always https://t.co/qML8qtkw7i,14/01/2017 18:46
yooooo thank u so much https://t.co/HbwE30xY5e,14/01/2017 18:45
i love you i love you https://t.co/FybvDFK8LG,14/01/2017 18:43
"omg. well, i'd really prefer it if you didn't. 🙈🙈 https://t.co/ciIzIHMhKa",14/01/2017 18:40
love you &amp; see you soon https://t.co/5C4OB1E5Nz,14/01/2017 18:38
lmaoooooo #truetho 🙈 https://t.co/JJJwK2gtCQ,14/01/2017 18:34
babyyyyy https://t.co/1bVczMVP7h,14/01/2017 18:33
me too my love https://t.co/cqN6QYOm6K,14/01/2017 18:30
k good that's doable 🙈 gettin ready for you https://t.co/vIp6XxNddv,14/01/2017 18:29
