tweet,date_time
"Tonight, President Obama reflects on eight years of progress. Watch the #FarewellAddress at 9 pm ET: https://t.co/ZnwTsg155B #ObamaFarewell",10/01/2017 23:44
"In the weekly address, President Obama discusses what #Obamacare has done to improve health care. https://t.co/VdQlyrSZhx",05/11/2016 15:38
"Let's keep working to keep our economy on a better, stronger course. https://t.co/bV2BVjyj7a",04/11/2016 22:16
The landmark #ParisAgreement enters into force today—we must keep up the momentum to #ActOnClimate. https://t.co/Cyw5Udaoro,04/11/2016 18:25
"The economy added 161,000 jobs in October, and wages are up 2.8 percent over the past year. https://t.co/pJxjgLnjCt #JobsReport",04/11/2016 16:12
There are a lot of plans out there. Check your options and lock in the one that's best for you: https://t.co/buFY9ozDz4 #GetCovered,03/11/2016 21:02
"The positive impact of #Obamacare is undeniable, but there's one big factor holding many states back: https://t.co/7XebIdRX34",03/11/2016 19:08
Tens of millions of Americans have benefited from #Obamacare. Make sure you're one of them. #GetCovered https://t.co/e1KoXcPtpU,02/11/2016 18:22
"Thanks to #Obamacare, quality health care is available to everyone. The marketplace is now open—make sure you and y… https://t.co/89gl6pzMGD",02/11/2016 15:13
Community organizing never goes out of style. Shop now: https://t.co/LXEbQdKLLT https://t.co/E56ofoU36i,01/11/2016 20:17
"With #Obamacare, people can focus on treatment for pre-existing conditions without the fear of coverage being cappe… https://t.co/jvdFY87XBu",01/11/2016 17:55
"The Obamacare marketplace is now open. If you're uninsured, now is the time to shop for a plan and #GetCovered.… https://t.co/Spjlga4eTT",01/11/2016 15:54
Lions and Tiggers and bears! Oh my! #HappyHalloween https://t.co/iU4fjBhi0Y,31/10/2016 22:09
Usted y su familia merecen la tranquilidad de saber que están cubiertos. El mercado de seguros abre mañana. https://t.co/9iRCkLRGZD,31/10/2016 20:12
"Speak up in support of quality, affordable health care for all. https://t.co/rGsSguMxvj",31/10/2016 18:08
There's nothing to be scared of when searching for health insurance. Three in four people can #GetCovered for less… https://t.co/BUmnRO9B3E,31/10/2016 17:00
Open enrollment begins tomorrow—make sure you and your loved ones #GetCovered. https://t.co/2aak7Bt0s3,31/10/2016 15:33
Senate leaders' obstruction of our Supreme Court nomination process is unacceptable. Say so: https://t.co/t3pYMO8Fp0 #DoYourJob,28/10/2016 16:50
Senate leaders should put the common good above politics—the integrity of our nation's highest court depends on it.… https://t.co/iRVCEl1pzf,28/10/2016 15:07
Don't ghost on your health and well-being—your chance to #GetCovered is coming up. Open enrollment starts November… https://t.co/qwNLazuPiz,27/10/2016 22:17
Climate change is happening now. Denial is dangerous. https://t.co/0Nlf8Fst4u,27/10/2016 21:31
"If you're willing to work hard and play by the rules, you should be able to get ahead. https://t.co/394hdJttgO",27/10/2016 20:24
