tweet,date_time
Mood https://t.co/ztacb0nRZ9,16/01/2017 16:56
The Best FIFA 2016 award is already available in my Museu CR7  👌🔝 https://t.co/NV3migfivA,13/01/2017 13:10
"Driving into 2017, another dream year ahead #DontCrackUnderPressure #tagheuer @TAGHeuer https://t.co/qdJhemKIK5",12/01/2017 08:02
"I was looking for the fans, because you supporting me every day,since day one. The trophy it's yours too. Thank you… https://t.co/Bo2HxHhpJn",11/01/2017 22:35
Guess where my eyes looking??? I let you know later 👍 https://t.co/Z6AGgcT9sz,11/01/2017 19:59
"@DwyaneWade . No. Watch. Learn, #raiseit Ronaldo style. I think I’ve got him, do you agree? 🍳… https://t.co/ug1MMdLsEe",11/01/2017 08:06
👌🔝 https://t.co/gCCBydN0gy,10/01/2017 17:40
Thanks @turktelekom,10/01/2017 17:38
You don’t lift the trophy for best player in the world without your team. #JustDoIt https://t.co/f0KxUSVK3H,10/01/2017 08:03
"Delighted to win The Best FIFA award. Wouldn't be possible without my teammates, coaches and you who support me eve… https://t.co/IE71uM1Tem",09/01/2017 20:34
😍 https://t.co/APmw3eag8Q,09/01/2017 12:56
Thank you all for this amazing celebration!👏👍 https://t.co/RW2naSBnxu,07/01/2017 18:44
"Honoured to wear my CR7 #Mercurial Vitórias boots today 🙌 🏆
@nikefootball https://t.co/i3S8J2ITXc",07/01/2017 08:05
Happy to be in the https://t.co/7YiIciMNZj Team of the Year for the 11th time! Thanks to all the fans who voted!… https://t.co/xBTniZec9V,05/01/2017 18:48
🏃🏼 https://t.co/KDV3BFRDgD,05/01/2017 15:29
"Desejo a todos o melhor do mundo em 2017. Bom ano! 
I wish you all the best in the world in 2017! Happy New Year. https://t.co/mgUxVfEFRa",30/12/2016 20:59
Silky smooth in time for the New Year &amp; I’m not talking about the shave @DwyaneWade 😂 #raiseit… https://t.co/csm06qYaPi,30/12/2016 10:05
The end of the year is approaching. Which @TAGHeuer timepiece should I choose? Sporty or elegant?… https://t.co/prs7b2C6Rp,29/12/2016 20:00
Hoy en la Gala Inocente Inocente podréis ver mi visita a un proyecto de esta Fundación que ayuda a los niños que má… https://t.co/Ppz35clZpv,28/12/2016 19:59
"To celebrate the end of 2016, @TAGHeuer asked me to prove how I didn't crack under pressure. https://t.co/9Yy3eP432B",27/12/2016 19:21
"The most amazing fireworks will be seen at the top of @PestanaCR7 Funchal.
Don’t miss it 😉 https://t.co/LpodJXzdyF https://t.co/kmsa0y0XlJ",26/12/2016 20:11
👍 https://t.co/mybcWttqIy,25/12/2016 22:26
Merry Christmas world ❤️❤️❤️ https://t.co/fCzCJ8s8f9,24/12/2016 19:58
A message of hope to the children affected by the conflict in Syria. @SavetheChildren https://t.co/Zsdvu2nuXd,23/12/2016 14:01
"Just unboxed my new gift from @TAGHeuer . A unique Tourbillon watch full of diamonds, especially for me. Thank you… https://t.co/zip7YV8CvH",23/12/2016 09:01
Just received a gift from #CLEARMEN. Merry Christmas! https://t.co/nNwA36ArUv,22/12/2016 17:02
Breakfast time in my spot👍👍👍🇵🇹 https://t.co/UKNVZROzYn,22/12/2016 11:46
"NEW update for my mobile game! Major improvements and amazing new boosters. Play against real players!
Download:… https://t.co/1eG9ty1vmo",21/12/2016 17:10
Spending time with my love 😍 https://t.co/FkRlPfF2bn,21/12/2016 15:10
Moments 👍 https://t.co/F04NBAbFaG,21/12/2016 13:38
Getting into the spirit of the season with Sacoor Brothers! Shop https://t.co/1CsLgLj3SD for the best styles for yo… https://t.co/nGE0s2HX7V,20/12/2016 18:04
"Happy with my new project CR7 Crunch Fitness in Madrid. Live Life Fit, take a look https://t.co/OhWkH0bTZu https://t.co/uRHrCIL7yh",19/12/2016 18:06
"After so much demand,I've decided to open the doors to my online The Private Edition members club for the next week… https://t.co/9LbYLMl5qF",19/12/2016 13:00
🇵🇹 https://t.co/UUpoigCfbp,19/12/2016 11:40
Simmmm. Happy to win another 🏆 trophy. Well done team. Hala Madrid https://t.co/Gqn6zoPMFT,18/12/2016 14:54
Thank you @jcbiver and @tagheuer for your kind words and the great presents ! #dontcrackunderpressure https://t.co/Q1dcEdOVFa,17/12/2016 12:01
"@DwyaneWade, Happy Holidays. This one is just for you ⛄🙌🏆#raiseit https://t.co/i6J4wmrc1W https://t.co/BfO0W0jTqg",16/12/2016 08:05
Want to see exclusive footage and unreleased images from The Private Edition photoshoot? https://t.co/KLGGg0yU8I https://t.co/TmRe6Xmnso,14/12/2016 12:00
My golden ball it's available in my museum in Madeira👍👍👍👍⚽️ https://t.co/jPZx9fh2NN,14/12/2016 10:34
"I'm now in Japan for next important title. #Sixpad, always helps me to perform my best. Get yours. Check… https://t.co/ldG6MPb4mu",13/12/2016 12:01
So happy and glad to win. Thanks Real Madrid and Portugal National team.amazing year. Simmmmmmm💪🏽💪🏽💪🏽💪🏽 https://t.co/IQCxOA5PLg,12/12/2016 22:34
Last chance to order my CR blankets for Christmas! Save 25% with promo code CRIS. https://t.co/wUzQqzllGd https://t.co/QIWOliTCLH,12/12/2016 12:46
Had a lot of fun creating The Private Edition scent. Watch here!https://t.co/KLGGg0yU8I https://t.co/hvTMyo2ohc,08/12/2016 17:04
Parabéns à Fundación Numen e à Fundación Inocente Inocente pelo magnífico trabalho que fazem no apoio a estas crian… https://t.co/HWkloNQSzm,08/12/2016 16:00
"Flip on the first try, @DwyaneWade. Don’t start what you can’t finish. 💯😂 #raiseit https://t.co/i6J4wmrc1W https://t.co/8xKfQJbWfC",06/12/2016 18:53
UCL👍 https://t.co/FxFVlo1rdY,06/12/2016 15:16
Want to see me create the packaging for The Private Edition?  https://t.co/XlG0HcBH6s https://t.co/w4xBPFfdzk,05/12/2016 17:06
