tweet,date_time,real_distilbert_sentiment,real_sentiment
Jet lag! https://t.co/iDr3lpgrt4,17/01/2017 08:06,sadness,negative
Awwww thank you!!!! https://t.co/P3Dt3HgvVE,17/01/2017 08:03,joy,positive
The best time! I love it there!!!! https://t.co/y70urHrF8s,17/01/2017 08:02,joy,positive
@KrisJenner - see mom!!! https://t.co/wim2LC8B9a,17/01/2017 08:01,joy,positive
Thank you @cosmesurge for saving my skin! #JetLagProblems #PsoriasisProblems https://t.co/f3gz4BIrjK,17/01/2017 07:58,joy,positive
🇦🇪 https://t.co/3vgEil2TJr,16/01/2017 20:09,joy,neutral
I love the tumblr feel of my website &amp; app. but all new features will be added next month to mix the old feel with my new vibe so stay tuned,16/01/2017 19:56,joy,positive
Awww was so much fun!!! Everyone check out Big Fan tonight in ABC https://t.co/MVJ1qVgNSz,16/01/2017 19:33,joy,positive
Dubai https://t.co/g0306IY5zg,16/01/2017 14:07,joy,neutral
Wearing Yeezy head to toe 😘 https://t.co/80YiaDgUOh,16/01/2017 06:29,joy,positive
Thank you @WojoohBeauty for sponsoring the Master Class with your contour revolution palette! Xo,15/01/2017 10:11,joy,positive
Best trip to Dubai! The Master Class was so much fun! Thank you @LauraMercier for sponsoring the class!,15/01/2017 10:09,joy,positive
#Dubai https://t.co/oL7QS8Kefo,15/01/2017 05:43,joy,neutral
Love this look ❤️#airportvibes https://t.co/7FiDUvKUVq,13/01/2017 23:47,joy,positive
So jet lagged I can't sleep,13/01/2017 23:24,sadness,negative
"Such a fun day today! I felt so much love here in Dubai, thank you guys for coming out to Mario's Master Class! ❤🎨💄😍❤",13/01/2017 16:17,joy,positive
Lol happy you are whole again 😀 https://t.co/BxmAwdjiX8,13/01/2017 04:41,joy,positive
@ishitakhannabff can't wait to see you today!!! Thank you for coming to the master class 😍🎨💄,13/01/2017 04:34,joy,positive
Up jet lagged &amp; dying to see @khloekardashian new show Revenge Body! I'm so excited for it! I love make over shows,13/01/2017 01:53,joy,positive
Make sure you guys all tune in for the premiere of @khloekardashian's new show #RevengeBody!! Tonight at 8/7c on E!,12/01/2017 22:39,joy,positive
on our way #dubai🇦🇪 https://t.co/xY0kZ39d4W,11/01/2017 23:28,joy,neutral
Saint looks just like the baby emoji 👶🏽,11/01/2017 20:46,joy,positive
👶🏽🎂 https://t.co/XyvBDFFf4v,11/01/2017 20:45,joy,positive
❤ https://t.co/x3kVW4NrKz,11/01/2017 18:25,joy,positive
he always has my back 😜 https://t.co/CRYbvvt7cz,11/01/2017 06:37,joy,positive
my boys ❤ https://t.co/KLx2V2kN1L,10/01/2017 23:18,joy,positive
https://t.co/utHLDF0mV6,10/01/2017 21:21,neutral,neutral
Who's watching my mom on the E! red carpet?!?! She's doing amazing and looks 🔥🔥🔥go @KrisJenner #ProudDaughter,08/01/2017 22:25,joy,positive
mom https://t.co/0IHlxBtUnz,06/01/2017 18:49,joy,positive
👱🏿 https://t.co/JfS9lxuZou,06/01/2017 17:42,joy,neutral
"@Kardashianpedia we will be adding videos, giffs, blogs &amp;tutorials soon, it's def more tumblr style in my vibe",06/01/2017 01:28,joy,positive
@Smailmounzil1 https://t.co/zfDFpCpPnI,06/01/2017 01:00,neutral,neutral
@IISAIEV hi!!!,06/01/2017 00:59,neutral,neutral
@adrian_0202 hi babe!! 😘😍,06/01/2017 00:59,joy,positive
Awww thank you!!! 😘 https://t.co/igEexWbcSl,06/01/2017 00:58,joy,positive
@_ColbyCheese thank you!! https://t.co/nAd80yrNvj,06/01/2017 00:58,joy,positive
Wait why am I now getting psoriasis on my face 😭,06/01/2017 00:56,sadness,negative
@ily_cupcake bff's!,06/01/2017 00:54,joy,positive
Thank you same to you 😘 https://t.co/1ZLxlw7C7X,06/01/2017 00:53,joy,positive
❤❤️👶🏽👧🏽 https://t.co/NEjUaIEpVW,05/01/2017 17:30,joy,positive
https://t.co/fRhFaLA5w0,05/01/2017 17:29,neutral,neutral
@IzzyWaddelow well I love you for this!!! 😘,05/01/2017 03:35,joy,positive
my son ❤ https://t.co/YJq352YzoA,04/01/2017 17:56,joy,positive
Done! https://t.co/bpuuK8ugKa,04/01/2017 03:50,joy,positive
dope!!!! https://t.co/lEFjo5xQoZ,04/01/2017 02:18,joy,positive
❤️ https://t.co/OnhF8d9rMV,04/01/2017 02:06,joy,positive
@ayahstyles same to you 🙏🏽❤,04/01/2017 01:53,joy,positive
@DEEZx_ missed you too ❤️😍,04/01/2017 01:52,joy,positive
Haha 😂😘 I missed you guys! https://t.co/RK4ITjFYvF,04/01/2017 01:51,joy,positive
@ellspow aww thank you!! ❤🙏🏽😍,04/01/2017 01:49,joy,positive
@The1975Zack I hope so! Yours too!,04/01/2017 01:48,joy,positive
Awww ❤❤❤😍😍😍 https://t.co/J8UvOcT4Y2,04/01/2017 01:47,joy,positive
family https://t.co/C160vg1Mcn,03/01/2017 18:59,joy,positive
Hey guys! Meet my #KimKardashianGame character at the So Chic Boutique in Downtown LA for a surprise ;) https://t.co/7fNjRJyDbT,02/10/2016 21:30,joy,positive
FASHION WEEK FACIAL #DrDevgan https://t.co/X481K2MNne https://t.co/7MsFuA4noZ,02/10/2016 18:46,joy,positive
Go to @voguemagazine 's Instagram to check out their stories. I did a takeover getting ready for the Givenchy show!,02/10/2016 18:27,joy,positive
This guy is always in my shot! https://t.co/7LC6ewaYPO,02/10/2016 17:26,neutral,neutral
Balenciaga. No make up today. https://t.co/l2WknhHoiy,02/10/2016 12:36,neutral,neutral
