tweet,date_time
It’s the perfect day to snuggle with a kitten and a Dalmatian. https://t.co/qaynZkHWHQ,23/01/2017 22:46
"I played ""Go with @GEICO"" w/ my new friend Shalese. I don’t know how she got here but I know how she’s driving home… https://t.co/9zY8mr48H5",23/01/2017 21:02
"The first step to acceptance and love is understanding. Thank you, @KatieCouric, for this powerful documentary. https://t.co/AHKZXBo2IS",23/01/2017 19:57
"There were so many spectacular signs at the #WomensMarch. If you have a favorite, I wanna see it! #4Ellen",23/01/2017 19:10
What a beautiful day #WomensMarch,21/01/2017 21:18
This is my kind of nap. https://t.co/3EY8NUPyqp,21/01/2017 20:55
These cheerleaders are trying to get to Nationals. You can support them here. I sure do. They only need $15K more! https://t.co/x2X2qoLlMH,21/01/2017 20:05
Did you hear that people who curse more are more intelligent? I did a whole f&amp;@%ing monologue about it. https://t.co/hts1fZWtjE,21/01/2017 00:15
".@KenJeong had a dream, and I’m in the business of making dreams come true. https://t.co/UZkKIv8PRG https://t.co/Ay1Id0V2sY",20/01/2017 23:29
.@Keurig is coming out with a machine that makes cocktails. I made them a commercial. https://t.co/41mWrHP488,20/01/2017 22:55
".@POTUS @BarackObama, you changed our world. #ThankYouObama https://t.co/FrxTIzNNZm",20/01/2017 16:36
#Squad https://t.co/dMwJffEcQn,20/01/2017 00:01
Yep. I made it an emoji. #EmojiExpoji https://t.co/ZtdTFnC4Mh https://t.co/Lw3DFHqBNi,19/01/2017 22:42
"If you have an amazing mom, you’ll appreciate this surprise. #LaughDancePartner https://t.co/WtR0UbKAJB",19/01/2017 22:16
".@POTUS and @FLOTUS, we’ve had a wonderful time together. https://t.co/5yxY3yB0YO",19/01/2017 21:39
"Ana-Alecia, you were an inspiration to me. Sending so much love to your family. https://t.co/aQpQnfaovF",19/01/2017 21:01
This dad from Texas has one of the best voices I’ve ever heard. I love this family. https://t.co/KYNwCsnvVu,19/01/2017 20:18
"You may not have seen me the first time, but I was absolutely at @POTUS’ farewell address. https://t.co/xAJHMhVXES",19/01/2017 19:48
.@People was asking who I’m wearing. I’m wearing me. It’s ED by Ellen. https://t.co/tRqPwJ1ebM,19/01/2017 19:20
"Thanks, Timby, for the amazing introduction. Of all the hunks on the stage, you were the hunkiest. @JTimberlake https://t.co/esneUdZ1T2",19/01/2017 18:50
"Happy #TBT, @POTUS. https://t.co/1anJ4F4yXi",19/01/2017 17:37
"The reason I get to do what I do is because you watch it, like it, vote for it, and retweet it. Thank you from the bottom of my heart. #PCAs",19/01/2017 05:17
Congrats @BritneySpears let's go back to the mall and get them engraved at Things Remembered. (It's upstairs by the… https://t.co/qGbT40lAGX,19/01/2017 05:00
❤️ https://t.co/MeaWI8K7Nz,19/01/2017 02:49
.@TonyGoldwyn You bring the shirtless photos. I'll bring the tequila.,19/01/2017 00:29
"Happy 5th birthday, Brielle! From me, Cookie Monster, the Count, and Elmo. https://t.co/lSO4BSZVvA",18/01/2017 23:58
".@RubyRose If only I had footage of you losing. Oh wait, I do. https://t.co/llwt1dDRMw",18/01/2017 23:16
.@JustinBieber Our I love you faces https://t.co/s3dHNupDuF,18/01/2017 22:47
The Pantry Mom is out of the pantry and on my show with her 2-year-old quadruplets. https://t.co/B0ZebAnRKn https://t.co/JUvUqOS48V,18/01/2017 22:17
.@POTUS I am honored you mentioned me in your last press conference. I’ll make sure to mention you on my last show. ❤️,18/01/2017 21:00
"Here’s an easy way to stay on top of the trend in jeans. I call it the Hiney Helper. You’re welcome, America.… https://t.co/uygA42iBgB",18/01/2017 20:18
.@DeepikaPadukone made her US talk show debut to possibly tell me if she's dating Vin Diesel. https://t.co/aNTsHKDcxs,18/01/2017 19:36
Sending love to President @GeorgeHWBush and former First Lady Barbara Bush.,18/01/2017 19:08
"I hope you all have a wonderful, incredible, fantastic, fabulous, epic, legendary, magnificent, splendid, awesome, spectacular #ThesaurusDay",18/01/2017 18:34
Who ate my snowman? https://t.co/VigRfDMbpT,18/01/2017 00:54
My staff had a lot to say about last night’s episode of #TheBachelor. https://t.co/wMYmrEZhLA,18/01/2017 00:05
Thanks to Hawaiian Airlines and Mauna Kea Beach Hotel for doing something very special for these two amazing people… https://t.co/L3GXdFTmCO,17/01/2017 23:01
"Happy birthday, @BettyMWhite! You were born before sliced bread was invented. So sliced bread is the best thing sin… https://t.co/UMlsUlJwLA",17/01/2017 22:21
.@KerryWashington I adore you more.,17/01/2017 21:46
"Happy birthday, @MichelleObama. You’re always in my heart. I’m always in your cart. https://t.co/X9KOygLn6L",17/01/2017 21:23
I can’t even count the coincidences in this story that led to Richard being alive today. Incredible. https://t.co/nOYZA7d4pi,17/01/2017 20:55
.@KerryWashington is a class act... even when she's drooling. https://t.co/pplPKv8zyl,17/01/2017 18:25
.@ChrisBHarrison Thank you for doing this and not filing a restraining order.,17/01/2017 02:36
"My producer Tracy got to ask @ChrisBHarrison all her #TheBachelor Qs on this ep of “You’re Supposed To Be Working."" https://t.co/62PdpgAfWm",16/01/2017 22:48
I thought for a second I forgot to put money in one of those umbrellas. https://t.co/Cxe4JgqBH9,16/01/2017 21:45
ED by Ellen mugs: Perfect for holding tiny bunnies. https://t.co/nse7fiY1pi,16/01/2017 20:52
.@NickCannon is a good guy. He told me about dinner with @MariahCarey after New Year's Eve. https://t.co/pkfOGInyBV,16/01/2017 19:44
.@RaeSremmurd was sremazing. https://t.co/4pXg9z8WXK https://t.co/nLCuiBYISA,16/01/2017 18:44
knowing that we will be free one day. #IHaveADream,16/01/2017 17:00
"One of the most incredible football games ever. I love @AaronRodgers12, and those @DallasCowboys played an amazing game #gbvsdal",16/01/2017 01:34
"Happy birthday, @DrewBrees! Throwing some love to you and your whole family, in a perfect spiral.",15/01/2017 17:49
Happy L.L. Cool Day! @LLCoolJ https://t.co/Vg0cebiHSA,14/01/2017 17:57
Sometimes it’s the view inside that’s the most beautiful. https://t.co/h9TAYEBCA5,13/01/2017 23:56
This is why I love the people. You’ve already raised $35K for Mr. Bonner’s school! Let’s keep it going!… https://t.co/Y3OMcZGjsM,13/01/2017 22:56
"Get your hand outta my pocket, @JoeJonas. https://t.co/sKed6Ol6N9",13/01/2017 21:55
"It’s almost the Chinese New Year, so I added a new deck to @HeadsUp. Gung Hay Fat Choy! #LaughDancePartner… https://t.co/V0JiKXw3dd",13/01/2017 21:22
I welcomed @AdamDevine and his mom by throwing pies at them. https://t.co/WoYzppWcwo https://t.co/pxErAwkpXp,13/01/2017 20:41
.@ChrisBHarrison told me about #TheBachelor. I’m starting to think there's a better way to find a husband.… https://t.co/FmcVuyr6OG,13/01/2017 19:56
"Happy birthday, @ShondaRhimes, Orlando Bloom, @LiamHemsworth and @OfficialJLD! Or as I call you, my perfect hot tub party.",13/01/2017 19:19
".@iamJamieFoxx’s movie ""Sleepless"" opens today! I’ve been so excited for it that last night I couldn’t... well, you see where this is going.",13/01/2017 18:43
Bottle flipping has never been this adorable. https://t.co/VQOGO1CLgT https://t.co/3f51Qy37jE,13/01/2017 17:59
That song is a real crowd pleaser. https://t.co/XsBea1h4MU,13/01/2017 04:10
This is the kind of team spirit I'm looking for. https://t.co/JmvkivtVhr,13/01/2017 01:06
What does my nose smell like? https://t.co/bUIptMD0tW,13/01/2017 00:18
".@VP @JoeBiden, I love you. You have the world's best #1 fan.",12/01/2017 22:42
.@HowieMandel is on the estrogen patch. https://t.co/I53QZdbwPy https://t.co/RE5Tk8k3Nj,12/01/2017 21:57
Today I met a cup holder that's not safe for daytime TV. https://t.co/xXF0Otngil,12/01/2017 21:22
"If you’re looking to help Mr. Bonner and South Greenville Elementary, we’ve created a GoFundMe page. https://t.co/8sD5lvq6nP",12/01/2017 20:18
"I’m thinking about going back to second grade just so Mr. Bonner can be my teacher. Thank you, Walmart.… https://t.co/BPsq3hzruS",12/01/2017 19:23
".@LzHernandez02 won Olympic gold and the Mirrorball Trophy, but today I might have the best prize of all. https://t.co/uheCjGdy6h",12/01/2017 18:45
It’s been raining for 3 days in L.A. I put out some jars in case there’s another drought. We don’t want to get into that mess again.,12/01/2017 17:42
"I don't know what it was, but it looked delicious. https://t.co/WSsBMwop4p",11/01/2017 22:44
"Quick, for a dollar, name this person on my show today – OF COURSE IT'S @BILLYEICHNER! https://t.co/HRHnwFYyFh",11/01/2017 20:54
".@OctaviaSpencer had a dream to be on a game show. I say ""had,"" because I made it come true. https://t.co/UihCfgTReK",11/01/2017 19:31
This little hound dog would make Elvis proud. https://t.co/KRdlbXvH8S https://t.co/9H3RheWJO1,11/01/2017 18:41
My staff made a Bachelor recap show. This better not have been on company time. #TheBachelor https://t.co/YRfnKTlOUw https://t.co/KMfCd82OJ7,11/01/2017 17:31
.@POTUS @BarackObama I love you more than I have space on Twitter to describe. #ObamaFarewell,11/01/2017 03:07
Did the boys like my hats? https://t.co/eO57xuakBn,11/01/2017 00:21
Who knew living in a trashcan made you such a grouch? @SesameStreet https://t.co/lj1H1IJlnp,10/01/2017 23:16
Two lucky audience members got to make it rain. Only one got to make it rain money. https://t.co/7s9meZfsqt https://t.co/BR955yxoE8,10/01/2017 22:25
Who knew @BenAffleck loved @TaylorSwift13? https://t.co/OrDTBhr7yn,10/01/2017 21:43
Do you know someone who spreads happiness? Nominate them &amp; Nutella may give 'em $10K. That's nuts #LaughDancePartner https://t.co/QY4Gs0BX0T,10/01/2017 21:13
"I ❤️ Ruby 🌹 
@RubyRose https://t.co/Sd6AJVIJj6",10/01/2017 20:35
We learned a lot about @BenAffleck today. #5SecondRule https://t.co/PWC3Ja1Fkw,10/01/2017 19:36
Sandra Bullock stole my career. https://t.co/E7GQowocxG,10/01/2017 18:25
Big spoon. Little spoon. https://t.co/Bab5yqpeII,09/01/2017 23:01
"Thanks to @Chideo, @JessicaBiel raised $10K by giving me her phone and letting me call @JTimberlake.… https://t.co/PEQjd9Jk6K",09/01/2017 21:03
"You know what Biggie said, ""...and if ya don't know, then ya go."" https://t.co/2DN82rrfbI https://t.co/2GQcGb6xsC",09/01/2017 20:22
Young Dylan went to @Drake Night at the Raptors. You'll never guess who he met there. https://t.co/XaHNYq4CRO,09/01/2017 19:22
"Happy birthday, Kate Middleton! I really hope your character is on The Crown next season.",09/01/2017 18:30
"You won't believe who I met today. I'll give you one guess. Okay, I'll give you eleven. #StrangerThings… https://t.co/zuEeGXFvG5",09/01/2017 17:39
"Moonlight! Incredible. Congrats to all the winners and nominees. @JimmyFallon, your #GoldenGlobes were wonderful.",09/01/2017 04:05
There has never been anyone like Meryl Streep. I love her. #GoldenGlobes,09/01/2017 03:26
It’s almost time for the #GoldenGlobes! Somewhere @JimmyFallon is squeezing himself into a shimmery dress. Good luck tonight!,09/01/2017 00:02
"Bright Lights airs tonight on HBO. I’ll be watching, and missing Carrie Fisher and Debbie Reynolds.",07/01/2017 20:02
"A big storm is headed through CA. Supermarkets are slammed with people preparing. When I got there, there was literally no
 self-tanner left",07/01/2017 17:48
"Happy birthday to my mayne man, Eddie Redmayne.",07/01/2017 00:57
Looks like it’s just us now. https://t.co/JFGOuX40zU,07/01/2017 00:23
I had a big surprise for two incredible people in New York. This is why I love my job. https://t.co/048x6rYXGm,06/01/2017 23:48
"If you were at the Fort Lauderdale airport or have family affected by this horrific shooting, you’re in our thoughts. Sending love.",06/01/2017 22:35
This is one of my favorite things that happens during the 12 Days of Giveaways. https://t.co/PmjZ0hpCkl,06/01/2017 18:18
"Thank God you’re okay, @DavidSpade. We need you.",06/01/2017 17:39
"Happy birthday, Bradley Cooper. I love us. https://t.co/LFe53YeVke",06/01/2017 02:48
"First, lightly coat your sister chef in flour. https://t.co/e1Uo9hxmNi",06/01/2017 01:30
Thank you @SenSanders for your support. https://t.co/VlKB9fiyXg,05/01/2017 23:07
It’s National Whipped Cream Day. I hope everyone’s having a great time. Who do I have to talk to about getting my own day?,05/01/2017 22:22
Violet unboxed a Hatchimal! This couldn’t be more adorable. https://t.co/vjNv2UcQ9p https://t.co/hTa0JKyWkW,05/01/2017 21:41
"Happy birthday, @Diane_Keaton! I'm toasting you with some chilled red wine. https://t.co/UNsHkmT9EO",05/01/2017 20:42
Wanna see me and @JimmyFallon open mouth kiss? Neither do I. https://t.co/Y08EhKeZ9g https://t.co/M4FHZUHzCY,05/01/2017 19:33
"Thank you, @Pharrell, for standing up for kindness and acceptance and love. https://t.co/Y8aom61Akl",05/01/2017 18:36
"In each of us, there is a dark side and a light side. https://t.co/LY8KsSNuB3",04/01/2017 21:35
.@iamJamieFoxx reveals the moment he realized it was time to get back in shape. https://t.co/3ndyCDKW3X,04/01/2017 20:28
"These brothers are both slowly losing their vision, but that hasn’t stopped them from doing something incredible. https://t.co/xYAZkZZAxu",04/01/2017 19:33
"If there’s anything better than @iamJamieFoxx in a sumo suit, I don’t know what it is. https://t.co/VH5BkwoOO7 https://t.co/Ew5Yxb5s1B",04/01/2017 18:14
"My friend @TedDanson was here for the first time in four years. He would've been here sooner, but he took Uber Pool. https://t.co/iFzGiDiYG8",03/01/2017 22:22
My Finding Dory costar @KaitlinOlson is here &amp; like any great guest she brought me footage of her dog snoring at 3am https://t.co/nrnnPVTJ6s,03/01/2017 21:47
Can a photo be your New Year's resolution? https://t.co/Ww8uOBRvug,03/01/2017 20:44
This may be the cutest lesson about planets you’ll ever see. https://t.co/fEsjbApTxB https://t.co/REsV6Pe48I,03/01/2017 19:34
"For those asking, Kim Burrell will not be appearing on my show.",03/01/2017 18:53
"2016 is gone, but we did have some fun times. https://t.co/Wb9KIDezpB",03/01/2017 18:15
Who’s ready for work? https://t.co/MHxQrNfVKF,02/01/2017 19:09
Happy 2017! This is crazy. It’s the year AND my pin number.,01/01/2017 17:10
"Goodbye, 2016. I know there are a few hours left, but I think I’m good.",01/01/2017 02:32
Happy birthday @AndyLassner. This montage is less a gift for you and more a gift for me. https://t.co/ib1GaJ0yd4,30/12/2016 15:31
This guy really loves his cat. https://t.co/0UoLROMGtV,29/12/2016 21:08
"Violet played with the new Super Hero Flight City, and I may or may not have just bought one for Portia. https://t.co/sAX7xgl56X",29/12/2016 17:45
