tweet,date_time,real_sentiment,real_distilbert_sentiment
"@ashley_ardinger We shall dub thee: “Meme Master Ashley""",24/01/2017 00:53,joy,positive
@wakandaho https://t.co/4LYgd60MC6,24/01/2017 00:13,neutral,neutral
@ashley_ardinger Meme of the week goes to you. 🏆 https://t.co/gsjBzfDFM8,24/01/2017 00:12,joy,positive
"@MaggyTheBrave What a time it’s been. Happy 10 year, and here’s to many more! 😍",24/01/2017 00:10,joy,positive
@itsqueenlena You got a pet giraffe?!,24/01/2017 00:08,joy,positive
@rizahmmed Or is it... https://t.co/pDBup4kfFS,23/01/2017 23:50,neutral,neutral
https://t.co/5lUMHzkIZw,21/01/2017 22:16,neutral,neutral
"#DayOne traditions continue.

Watch the #Inauguration parade LIVE.
https://t.co/lWghuqKB5t",20/01/2017 20:47,neutral,neutral
"#DayOne begins right now.

The 45th U.S. Presidential #Inauguration is streaming LIVE.

https://t.co/cXqjEOQqZn",20/01/2017 16:03,neutral,neutral
"Today marks #DayOne.

The 45th U.S. Presidential #Inauguration streams LIVE at 11am ET, right here on Twitter.

https://t.co/cXqjEOQqZn",20/01/2017 14:06,neutral,neutral
"@Menley897 Your positivity is contagious, we can’t stop smiling. 🤗",20/01/2017 02:37,joy,positive
@ZacharyJeans That place looks vaguely familiar. 😉,20/01/2017 02:36,neutral,neutral
@martyn2019 https://t.co/Ndfiry23Ti,20/01/2017 02:35,neutral,neutral
@danielsing3r Best friends forever. 🙌,20/01/2017 02:34,joy,positive
@SacramentoKings 10 years of 🔥 #KingsDecade https://t.co/YZGdtpqQO0,19/01/2017 23:33,joy,positive
"In 2016 we focused on strengthening our foundation of inclusion and made progress that we will continue to build on.
https://t.co/C6u5XVXwPJ",19/01/2017 17:59,neutral,neutral
@NathanZed That's so Nathan 🎶🔮 https://t.co/zV9a8vB8gn,19/01/2017 02:21,joy,positive
@SteveCarell https://t.co/bTXndNjfCB,19/01/2017 00:18,neutral,neutral
"@J4CKMULL Rain drop, camp rock.",18/01/2017 23:59,joy,positive
"@DebraMessing We’ve been waiting 3,898 days for this. https://t.co/SyxIuHCOhI",18/01/2017 23:54,joy,positive
@shanemartinlark Looks like things are getting pretty serious. 😍,18/01/2017 23:53,joy,positive
@LouHaigh Enough? There’s no such thing as “enough” dog pics. 🐶,18/
@mattbaumanNYC And who vs whom vs whose vs who’s.,10/01/2017 02:29,neutral,neutral
"@RileyDavidson32 Well, are her Tweets fire?",10/01/2017 02:28,joy,positive
@BERNIEXANDERS_ Sometimes the only engagement you need is from your followers. 😉,10/01/2017 02:28,joy,positive
