tweet,date_time,real_sentiment,real_distilbert_sentiment
"You must be at least 1 ½ inches tall to ride. Lego Night Ride: https://t.co/kgurndAo1D https://t.co/5xDNB04aeR",24/01/2017 02:30,joy,positive
"New Year's resolutions got us like ... ⚠️🍫☠️ https://t.co/xGIRLZje2t https://t.co/s8n4WeOtw3",24/01/2017 01:30,joy,neutral
"Beets and cats and beets and cats and ... https://t.co/5T3zANZyCZ https://t.co/Gsdx5LNWUv",24/01/2017 00:30,joy,positive
"Feeling so energized after the #Sundance panel for #ThisIsEverythingDoc today. Emotional, thoughtful, empowering. 💪 https://t.co/QB7ablts4y",24/01/2017 00:29,joy,positive
"Forget Throwback Thursday. This Monday, we’re going prehistoric. https://t.co/CzokOmzsXU https://t.co/eTPMzxWmrp",23/01/2017 23:30,joy,positive
"@GloZell @ArianaGrande An Arianator in the making! 💚",23/01/2017 23:09,joy,positive
"@tweetsauce 🤔📦",23/01/2017 23:08,joy,neutral
"@JoeyGraceffa ❤️💛💚💙💜",23/01/2017 23:08,joy,positive
"Wanna split a soda? https://t.co/6n8J5ZHJaT https://t.co/ZBTYC7mIZe",23/01/2017 22:30,joy,positive
"We're not opposable to this. https://t.co/zyKzBoonl4 https://t.co/TTDtsxLAF6",23/01/2017 21:30,joy,positive
"All stories start somewhere. Head back home with @EdSheeran. “Castle on the Hill” → https://t.co/Tv4aqHJNBe https://t.co/NhT5wjk8uh",23/01/2017 20:30,joy,positive
".@TheGigiGorgeous brings us on an inspiring journey. #ThisIsEverythingDoc releases on #YouTubeRed 2/8.… https://t.co/xuxvw2hp53",23/01/2017 19:07,joy,positive
"Home isn’t where you are, it’s who you’re with. See @gnash’s humble beginning and bright future in his @theFADER do… https://t.co/cjoqDE0EW7",23/01/2017 18:24,joy,positive
"After @DanHarmon's talk at #Sundance, we can't wait to show you his #YouTubeRed series coming later this year. 🙌 https://t.co/Gg9t3CrYpt",23/01/2017 03:11,joy,positive
"“Now” — your favorite four-legged friend, describing when they want attention https://t.co/P0A4ueq1Hf https://t.co/eNAxyWFyNT",22/01/2017 22:30,joy,positive
"“Welcome to our #Sundance crib!” — @rhettandlink on our insta story right now. Check it out before it’s gone 📸 https://t.co/3UwwBzm4z3",22/01/2017 21:03,joy,positive
"Don't try this butterfly knife trick at home, even if you emerged from a chrysalis. https://t.co/FoRjIyb87p https://t.co/2lsgYpwsAF",22/01/2017 18:00,fear,neutral
"A few days into #Sundance and we're already inspired. 😍 @TheGigiGorgeous and @TylerOakley explained how creators af… https://t.co/ZF74klCl7I",22/01/2017 02:32,joy,positive
"This kid carries a beat around the entire world. https://t.co/8mu2fLlJo8 https://t.co/CkAzvrE8YJ",21/01/2017 22:30,joy,positive
".@troyesivan finds Heaven: https://t.co/ZJFzFsxUGN https://t.co/F4o2drsVwn",21/01/2017 20:00,joy,positive
"🖱💢🖱💢🖱💢🖱💢🖱 💢🖱💢🖱💢🖱💢🖱💢 🖱💢🖱💢🖱💢🖱💢🖱 💢🖱💢🖱💢🖱💢🖱💢 🖱💢🖱💢🖱💢🖱💢🖱 💢🖱💢🖱💢🖱💢🖱💢 🖱💢🖱💢🖱💢🖱💢🖱 💢🖱💢🖱💢🖱💢🖱💢 🖱💢🖱💢🖱💢🖱💢🖱… https://t.co/3gR3vijd86",21/01/2017 18:30,joy,neutral
"This year’s hottest travel hack? ✨ i m a g i n a t i o n ✨ https://t.co/lmo3aZPIYP https://t.co/soG7jKLEZR",21/01/2017 00:30,joy,positive
"Nick Offerman has a lot of feelings about firewood. We’re not surprised. https://t.co/9OQItKiwae https://t.co/Ds0gP4ymmx",20/01/2017 23:55,joy,positive
