tweet,date_time,real_distilbert_sentiment,real_sentiment
"Fog as far as the eye can see #TheWeekOnInstagram
https://t.co/CLsYaztrRB",17/01/2017 00:45,neutral,neutral
.@KadirNelson’s tribute to Dr. Martin Luther King Jr. #MLKDay https://t.co/duzl7bHRTq,16/01/2017 18:30,sadness,negative
"A friendship full of fellowship, respect and trust on a farm #TheWeekOnInstagram
https://t.co/37OSgPvHXp",16/01/2017 00:45,joy,positive
Adventures around the world with the very cuddly @shuthebear https://t.co/eZ9ek69vN2,15/01/2017 18:30,joy,positive
A perfectly timed underwater encounter #TheWeekOnInstagram 🐠 https://t.co/ZjYx71rBKQ,15/01/2017 00:45,joy,positive
"The Week on Instagram | 267
https://t.co/z0ONPTiO7V",14/01/2017 23:35,neutral,neutral
"Ice, ice baby #BoomerangOfTheWeek
https://t.co/FzTJNegkfK",14/01/2017 20:30,joy,positive
"Happening NOW: artist @tom_sachs attempts his final mission to Europa. 
Watch LIVE 🚀 https://t.co/lFHo7fRrBB",14/01/2017 02:57,joy,positive
"Participate in this weekend’s hashtag project: #WHPfollowthelight
https://t.co/XIxEGk6P4p https://t.co/2wT3BDZ4FV",13/01/2017 22:30,joy,positive
Watch our Instagram story to see @edsheeran perform for lucky fans in NYC https://t.co/haoQBgkoH8,13/01/2017 16:10,joy,positive
“I’m inspired by my life experiences and everything around me — the real world.” —Artur Bordalo,13/01/2017 01:12,joy,positive
"One man’s trash = another man’s treasure. (This couldn't be truer for artist Artur Bordalo.)
https://t.co/qC2bVvwRtN",12/01/2017 23:30,joy,positive
"“Flowers are an indispensable way of putting coziness, atmosphere and beauty into my pictures.” —Marina Schammler 💐 https://t.co/i846KGqZbj",12/01/2017 18:30,joy,positive
A Parisian passerby's march mirrors a Champs-Élysées statue. #WHPimitation https://t.co/T8SVFxZimu,12/01/2017 15:30,joy,positive
"A tiny human encounters a friendly snow creature #TheWeekOnInstagram
https://t.co/hDhGV6aoeL",12/01/2017 04:34,joy,positive
Art imitates life (and life imitates art) in Alexandra Cameron’s self-portrait https://t.co/DQ3N0nSl4r,12/01/2017 03:30,joy,positive
“Taking weird things and making them cute is a cool way to look at the world.” —Becky Margraf https://t.co/GePrN7lBu7,12/01/2017 02:30,joy,positive
A pocket full of happy! Check out Becky Margraf’s squares https://t.co/Ccm7RYIQzF,11/01/2017 23:30,joy,positive
“Get out there and enjoy what the world has to offer.” —freelance photographer @itchban https://t.co/cWf52JdseL,11/01/2017 19:15,joy,positive
A (literally) handmade cockatoo for #WHPimitation https://t.co/sMLF01eYkf,11/01/2017 15:30,joy,positive
"Transforming into tigers, from head to toe #WHPimitation https://t.co/qMkof950cc",11/01/2017 03:30,joy,positive
"A bright green reprieve in São Paulo #TheWeekOnInstagram
https://t.co/JZNEhkRH9w",11/01/2017 00:45,joy,positive
Leaping into the new year — complete with a mid-air tail wiggle #WeeklyFluff https://t.co/hVZXO31LA6,10/01/2017 18:30,joy,positive
Check out our story from the @CFBPlayoff with @ClemsonFB vs @AlabamaFTBL. 🐯🐘 https://t.co/wvW5S0aoMr,10/01/2017 17:35,joy,positive
"A gray feline meets its handcrafted avatar #WHPimitation
https://t.co/Kg1j5PJPOe",10/01/2017 15:30,joy,positive
"Striped shirts and braids seem to run in this family #WHPimitation
https://t.co/1LNnZxyhy7",10/01/2017 03:30,joy,positive
"Featured submissions from this weekend’s hashtag project: #WHPimitation
https://t.co/2ide3BNjZf https://t.co/y4xEQnVzDw",10/01/2017 01:30,joy,positive
"A bird who reminds us to dream big #TheWeekOnInstagram
https://t.co/ogqDqrucjs",10/01/2017 00:45,joy,positive
"Krista Barmer tells stories through textiles 
https://t.co/vcPQRCkaOc",09/01/2017 17:30,joy,positive
Tune into our Instagram story — we’re celebrating the #GoldenGlobes with @SofiaVergara! 📽📺 https://t.co/xqgXziJlUO,09/01/2017 05:36,joy,positive
"A hidden heart in Thessaloniki, Greece #TheWeekOnInstagram
https://t.co/SqUUzxFBV1",09/01/2017 00:45,joy,positive
“Once an idea for a shot comes into my head I won’t stop chasing it.” —photographer Alex Spurway https://t.co/6iaattBrZV,08/01/2017 18:30,joy,positive
"When life hands you lemons, @AskTSA says it’s OK to take them on a plane 🍋
https://t.co/kevgXFOj6t",08/01/2017 12:03,joy,positive
"Heart eyes 😍for these art eyes (via @TeenVogue) 
https://t.co/27iY9PfmEv",08/01/2017 04:59,joy,positive
"Somewhere over the rainbow ... is a chicken practicing yoga #TheWeekOnInstagram
https://t.co/x2QPHPmMyt",08/01/2017 00:45,joy,positive
"The Week on Instagram | 266
https://t.co/b42IKE47Gw https://t.co/I9C2xZcz8c",07/01/2017 23:35,neutral,neutral
"Our #BoomerangOfTheWeek = extreme 🥄🥄🥄 
https://t.co/vTVHeN6hNd",07/01/2017 20:30,joy,positive
“I’m humbled to be in a category with women I admire and adore.” —Golden Globe nominee @HereIsGina 💕 https://t.co/PdY7ErdSTB,07/01/2017 18:30,joy,positive
Celebrating #OrthodoxChristmas with food stylist Andrey Tulsky https://t.co/bkxIezDLzF,07/01/2017 01:30,joy,positive
"Participate in this weekend’s hashtag project: #WHPimitation
https://t.co/ioRZ2Xtk4G https://t.co/YvLTWSQiNe",06/01/2017 22:30,joy,positive
Patrik Monka’s photography captures the energy of (very) flexible folks https://t.co/H0ALJsbf8A,06/01/2017 18:30,joy,positive
