tweet,date_time,real_distilbert_sentiment,real_sentiment
"Tonight: @MichaelKeaton, @ninadobrev, music from @The_xx, and more! #FallonTonight",17/01/2017 13:47,joy,positive
.@michaelstrahan and @BryceDHoward take on @questlove and I in an intense game of Pyramid https://t.co/dWm11VmAKj #FallonTonight,17/01/2017 12:55,joy,positive
"Tonight on the show: @michaelstrahan and Bryce Dallas Howard are here, plus @BebeRexha performs! #FallonTonight",16/01/2017 14:10,joy,positive
Can't believe we were just in LA a few days ago!! Busy and fun times! https://t.co/VPwSYHIso7,13/01/2017 23:23,joy,positive
Rumors circulating that @TheKinks actually owned a @Toyota Corolla -not a Camry. https://t.co/WmqTu8xEFY #Lola,13/01/2017 17:40,neutral,neutral
"Tonight: Claire Danes, J.K. Simmons, music from @sampha and it's #ThankYouNoteFriday! #FallonTonight",13/01/2017 14:01,joy,positive
First Drafts of Rock: Lola by @TheKinks -- Thanks again @KevinBacon! https://t.co/WmqTu8xEFY #FallonTonight,13/01/2017 13:04,joy,positive
A special @FLOTUS edition of #ThankYouNotes https://t.co/XIo9FSNfor #FallonTonight,12/01/2017 19:05,joy,positive
"Tonight: New First Drafts of Rock w/@kevinbacon, Greta Gerwig, stand-up from @nickthune &amp; your #ResolutionFail tweets! #FallonTonight",12/01/2017 14:06,joy,positive
"Stevie Wonder performs ""Isn't She Lovely"" &amp; ""My Cherie Amour"" in a special medley for @FLOTUS https://t.co/alrsYiuH6f #FallonTonight",12/01/2017 13:37,joy,positive
Last night we helped @FLOTUS surprise people who thought they were recording goodbye messages to her https://t.co/NDTdUd6uBX #FallonTonight,12/01/2017 13:15,joy,positive
My friend’s resolution was to text less. I know that because he texted it to me. #ResolutionFail,11/01/2017 17:03,neutral,neutral
Hashtag game! Tweet out a funny or embarrassing way you've broken a New Year's Resolution &amp; tag with #ResolutionFail. Could be on our show!,11/01/2017 17:02,joy,positive
Great show tonight: @FLOTUS Michelle Obama is here!! Plus talk &amp; music with the legendary Stevie Wonder! Don't miss!! #FallonTonight,11/01/2017 13:47,joy,positive
"Tried a new game on the show last night with @IAMQUEENLATIFAH, @waynecoyne, and Fred Armisen! https://t.co/4Uo0I9DK02 #FallonTonight",11/01/2017 13:01,joy,positive
"We're back with new episodes!! Really fun show tonight: @IAMQUEENLATIFAH
Fred Armisen, and music from @theflaminglips! #FallonTonight",10/01/2017 13:47,joy,positive
My fav too!! https://t.co/qP4TYgMsL2,09/01/2017 23:18,joy,positive
The opening: how it happened. https://t.co/HMsA4sVxg9,09/01/2017 21:06,neutral,neutral
@ChristianSlater you know you are one of my favorite actors ever. I loooooove you!!!,09/01/2017 21:01,joy,positive
Check out Snapchat to see behind the scenes of how we put the Golden Globes opening together! Thanks again for last night.,09/01/2017 20:27,joy,positive
Do NOT miss the opening 5 minutes of the Golden Globes tonight on NBC. Tune in at 7:59 (east coast) 4:59 (west) if you have to!,08/01/2017 22:47,joy,positive
Everybody's talking about the GG's!! #GiantsGame #GoldenGlobes  🏈,08/01/2017 18:08,joy,positive
Good morning from LA. This Sunday 8pm ET #GoldenGlobes https://t.co/fnric2WO2Z,06/01/2017 17:17,neutral,neutral
Jim Parsons and I play 5-Second Summaries  https://t.co/gANCJSI8Id #FallonTonight,23/12/2016 13:30,joy,positive
"Tonight: Adam Driver, @rhettandlink, music from @rkelly, #ThankYouNoteFriday and our final day of #12DaysOfChristmasSweaters! #FallonTonight",23/12/2016 13:14,joy,positive
"Tonight: Jim Parsons, Toy Experts @EvanTubeHD &amp; Jillian, music from @dec99th, your #NewXmasCarols tweets &amp; #12DaysOfChristmasSweaters!",22/12/2016 13:51,joy,positive
Best Friends Challenge with @violadavis https://t.co/jW72tsUMFM #FallonTonight,22/12/2016 12:52,joy,positive
You better watch out / You better not cry / You better not pout I'm telling you why / I'm filming you on Snapchat right now #NewXmasCarols,21/12/2016 20:30,neutral,neutral
"Hashtag game! Update the lyrics of a famous Christmas song to be more modern, and tag with #NewXmasCarols. Could be on our show!",21/12/2016 20:29,joy,positive
https://t.co/5CGEisTVa0,21/12/2016 19:47,neutral,neutral
"Thanks to @PaulMcCartney, @McConaughey, @RWitherspoon, Scarlett Johansson, @SethMacFarlane &amp; @torikelly!!… https://t.co/v64NeKB7gz",21/12/2016 15:12,joy,positive
"Tonight's show: @violadavis, @nickkroll and Chef Daniel Humm! Plus #12DaysOfChristmasSweaters continues! #FallonTonight",21/12/2016 14:04,joy,positive
"New Kid Theater! @McConaughey and I perform kid-written scripts for ""Gold"" https://t.co/VOw9JCAr3x #FallonTonight",21/12/2016 13:31,joy,positive
".@PaulMcCartney, the cast of @singmovie, @TheRoots, &amp; I sing an a cappella version of ""Wonderful Christmastime""  https://t.co/UkEGlM2bn1",21/12/2016 13:10,joy,positive
"Tonight: Kid Theater w/@McConaughey, @JanelleMonae is here, music from @SylvanEsso and Day 9 of #12DaysOfChristmasSweaters! #FallonTonight",20/12/2016 14:09,joy,positive
Denzel Washington and I give some dramatic readings of greeting cards https://t.co/mH4fi9E5f9 #FallonTonight,20/12/2016 13:13,joy,positive
"Tonight: Denzel Washington is here! Plus @itstonybennett stops by to talk &amp; perform, + #12DaysOfChristmasSweaters continues! #FallonTonight",19/12/2016 13:58,joy,positive
"Tonight: @RWitherspoon, @AndrewRannells, music from @_Warpaint + #12DaysOfChristmasSweaters &amp; #ThankYouNoteFriday! #FallonTonight",16/12/2016 13:54,joy,positive
"Taking the Ramen Challenge with Sienna Miller, with a little surprise from the @Rockettes! https://t.co/hKPRDoYpT4 #FallonTonight",16/12/2016 13:09,joy,positive
"Tonight: Casey Affleck, Sienna Miller, music from @solangeknowles, your funniest #CrappyHolidays tweets + #12DaysOfChristmasSweaters!!",15/12/2016 13:56,joy,positive
.@Schwarzenegger and I have a Snapchat Interview https://t.co/n4zDdheCwW #FallonTonight,15/12/2016 12:55,joy,positive
My friend got caught in a snowstorm driving home. He spent Christmas at a Red Roof Inn eating cold omelets from the buffet. #CrappyHolidays,14/12/2016 21:30,sadness,negative
"Hashtag game! Tweet out a funny, weird, or embarrassing holiday story that happened to you &amp; tag with #CrappyHolidays. Could be on the show!",14/12/2016 21:29,joy,positive
"Tonight: @Schwarzenegger &amp; Elle Fanning stop by, plus Childish Gambino (@donaldglover) performs &amp; #12DaysOfChristmasSweaters! #FallonTonight",14/12/2016 13:54,joy,positive
Michael Fassbender and I have an Air Guitar Battle https://t.co/LZ6Syju36t #FallonTonight,14/12/2016 13:01,joy,positive
"Tonight on the show: Michael Fassbender, Jon Glaser, @NiallOfficial performs and more #12DaysOfChristmasSweaters! #FallonTonight",13/12/2016 14:02,joy,positive
"Tonight: @BryanCranston, @HaileeSteinfeld, music from @OneRepublic, and #12DaysOfChristmasSweaters! #FallonTonight",12/12/2016 14:01,joy,positive
I can't believe we pulled that off. I lost it. #FallonTonight,10/12/2016 06:15,joy,positive
"Happy #ThankYouNoteFriday! Tonight: @TheRock, @kevin_nealon, music from @GaryClarkJr and #12DaysOfChristmasSweaters continues!",09/12/2016 14:09,joy,positive
I created these Hands High @NFL sweatshirts to enhance the experience of being a fan. https://t.co/Ht9FQTnX3i… https://t.co/VWTxXGx8Yf,09/12/2016 00:04,joy,positive
"Tonight: Robert De Niro, @Pharrell Williams stops by to talk and perform with @KimBurrellLove, your #TextFail tweets &amp; more! #FallonTonight",08/12/2016 14:00,joy,positive
Here's Nintendo legend Shigeru Miyamoto playing the Super Mario Bros theme w/@TheRoots! So cool!! https://t.co/7qKPdU0hUp #FallonTonight,08/12/2016 13:16,joy,positive
Debuted the new Nintendo Switch last night with President of @NintendoAmerica Reggie Fils-Aimé!! https://t.co/su8GAQRrCM #FallonTonight,08/12/2016 12:58,joy,positive
"Friend was texting his mom when the restaurant texted him to say his table was ready. He accidentally replied ""Thanks, love you."" #TextFail",07/12/2016 18:46,neutral,neutral
"Hashtag game! Tweet out a funny, weird, or embarrassing story about texting and tag with #TextFail. Could be on our show!",07/12/2016 18:45,joy,positive
"Tonight on the show: @EdwardNorton, @rizmc, and a demo with President of @NintendoAmerica Reggie Fils-Aimé! Don't miss! #FallonTonight",07/12/2016 13:58,joy,positive
.@prattprattpratt and I perform Mad Lib Theater https://t.co/isOUmdLHbv #FallonTonight,07/12/2016 12:56,joy,positive
Cooking and laughing with @Mariobatali and @VICE https://t.co/Zv3SZ24xnt #Munchies,06/12/2016 15:53,joy,positive
"Fun show tonight: Mad Lib Theater with @prattprattpratt, @KatieHolmes212 is here, and @JohnMayer performs! #FallonTonight",06/12/2016 13:58,joy,positive
"#HamiltonMixtape performance on the show last night with @BustaRhymes, @JoellOrtiz, @blackthought &amp; @theroots!! https://t.co/xuBtWilPnO",06/12/2016 13:35,joy,positive
"Tonight Show Family Feud w/Annette Bening, @IAmSteveHarvey, Greta Gerwig &amp; the Roots! So much fun https://t.co/sp8XDOoa63 #FallonTonight",06/12/2016 13:04,joy,positive
#FallonTonight is trending... so fun!!,06/12/2016 05:08,joy,positive
https://t.co/1pHC8xnIIz #HamiltonMixtape #Track12 #LoopIt #Spotify  https://t.co/1pHC8xnIIz,06/12/2016 04:42,neutral,neutral
#HamiltonMixtape tonight on #Tonight!,06/12/2016 04:20,joy,positive
"Tonight: Annette Bening, @IAmSteveHarvey + music from #HamiltonMixtape's @BustaRhymes, @JoellOrtiz, @blackthought &amp; @theroots #FallonTonight",05/12/2016 14:00,joy,positive
"Congrats to @Lin_Manuel, @questlove, @blackthought and all else who worked so hard on #HamiltonMixtape. Honored. https://t.co/0XH0FqZ6bB",02/12/2016 17:23,joy,positive
