tweet,date_time
I have two pockets. 😬 https://t.co/4Emsy9yjYD,23/01/2017 02:50
Branch’s face says it all … Happy #NationalHuggingDay! @Trolls #TrollsHugDay https://t.co/feRJGKy8Vk,21/01/2017 16:40
Thank you to EVERYONE that voted for Favorite Song and Favorite Male Artist. I'm truly honored… https://t.co/2zob1sR64j,19/01/2017 15:46
Enjoyed working with such talented people to create original music for @bookoflovefilm. Available to stream now:… https://t.co/hQwCxFAidy,13/01/2017 19:36
👀 https://t.co/lMGVAoKeLs,13/01/2017 01:22
"That's. My. Dawg. Mike Conley
#CaptainClutch 

Retweet NOW!

#NBAVote https://t.co/As8WA9iQgu",07/01/2017 08:03
"Or vote by using these hashtags on socials: #iHeartAwards, #CantStopTheFeeling &amp; #BestMusicVideo OR #BestSongFromMovie (All 3!) -teamJT",05/01/2017 20:37
JT is up for 3 @iHeartRadio Music Awards! Help him win with a vote a day until Feb 24th! VOTE:… https://t.co/vGPLeYj4Pn,05/01/2017 20:34
"I AM unemployed... 🤔

#GrindCity https://t.co/tirjI6fXZn",30/12/2016 20:37
🔥🔥🔥👀 https://t.co/B9AHux1loO,30/12/2016 04:01
"#RIPCraigSager 

You made basketball BETTER. There will never be another you. Prayers to your family and loved ones.

-JT",16/12/2016 00:00
"Woke up to a @goldenglobes nom! And then played hide and seek with my son before breakfast! Double win!Thank you, HFPA!!! 🍾🎉",12/12/2016 16:40
#TisTheSeason to vote for JT at this year's @PeoplesChoice Awards! Every day ‘till Dec. 15th 🎉 VOTE:… https://t.co/WViATD25Nj,09/12/2016 20:51
This. Is. Awesomeness. https://t.co/abf8UJHM8i,08/12/2016 14:52
CONGRATS to JT &amp; @DWAnimation for today's #Grammy nomination! #CantStopTheFeeling is up for Best Song For A Visual… https://t.co/6jstvvea2D,06/12/2016 19:40
LA! My guys @TheShadowboxers are playing @TheTroubadour tomorrow night. Go CHECK THEM OUT!!!,05/12/2016 19:24
Thank you @CriticsChoice! @Trolls is up for TWO nominations ... Thank you for this!!!,02/12/2016 18:36
Such an important song and message. #Th3FIGHT https://t.co/9GmqroblFY,29/11/2016 23:08
3 @peopleschoice Awards nominations! Help JT win with a vote a day till Dec 15th! VOTE: https://t.co/vyEAwHrxbW -te… https://t.co/iiPMTWolQb,29/11/2016 17:38
For all you shoppers 👌🏻@AppleMusic @trolls. Till 11/28 https://t.co/WsbE5wI7Xa,26/11/2016 22:50
It's true you guys. They wear jet packs. And they can sing! https://t.co/c1xxrJqvJM,25/11/2016 22:09
"Hate to have missed this one, guys! So many people I love in one place to celebrate my big brother, @BLVD34Music… https://t.co/ljokOq5UfG",21/11/2016 00:55
Bwahahahahahahahahahahaha! @ChrisStapleton https://t.co/YNwI2hmwHl,21/11/2016 00:46
Introducing... @Gilt x @WilliamRast collection. @TraceAyala https://t.co/RL4PypRhBs https://t.co/2ljgo0A7W6,18/11/2016 02:08
"CONGRATS JT! 3 @Peopleschoice Award Nominations! Vote for JT, every day till Dec 15th! VOTE:… https://t.co/FgzEp1ptPu",15/11/2016 20:46
