tweet,date_time,real_distilbert_sentiment,real_sentiment
My I love you face https://t.co/FjDaOjinwE,16/01/2017 20:00,joy,positive
#10yearsofkidrauhl where it all began. Thanks https://t.co/iXMOt2sT3E,15/01/2017 20:36,joy,positive
Watched never say never on Netflix. Great movie,08/01/2017 06:28,joy,positive
Tour access https://t.co/12mNDNJeYS,07/01/2017 07:38,joy,neutral
Life is good,06/01/2017 20:28,joy,positive
RT to Send my boy Chris Paul @CP3  to the NBA All-Star Game #NBAVote #retweettovote,06/01/2017 20:27,joy,positive
My sister has a YouTube channel. Proud of you Jazzy. https://t.co/Q8HEULYLUk,06/01/2017 00:34,joy,positive
Today. https://t.co/VIVmpJ4I4X,31/12/2016 19:36,joy,neutral
you just got knocked the fuck out,31/12/2016 06:23,anger,neutral
Great book #howsyoursoul by my friend @judahsmith https://t.co/OXkSFgzyAk,28/12/2016 19:53,joy,positive
Thank you https://t.co/o8h1AUSifO,27/12/2016 00:34,joy,positive
"Miami. See you at @Fontainebleau​ for #NYE2017 
https://t.co/lSBp5aVirr https://t.co/fyNHjapdkC",26/12/2016 20:27,joy,positive
"Merry Christmas everyone :)
https://t.co/KjiOD3EBZJ",25/12/2016 15:58,joy,positive
https://t.co/4UNgQ3vt0E,24/12/2016 15:55,joy,neutral
"New holiday #Justmojis
https://t.co/d3N0mzAcWC https://t.co/vWjSo0Jf1P",24/12/2016 15:55,joy,positive
This is one of the funniest videos I have ever seen. Haha https://t.co/MnwI579UZE 😂,21/12/2016 01:03,joy,positive
More 2017 #PurposeTour stadiums on sale now https://t.co/ZW5b2loGdQ https://t.co/djweYMuizS,17/12/2016 19:58,joy,positive
Dublin @TheRDS on sale too #PurposeTour https://t.co/GR0hWyGzwY,16/12/2016 15:40,joy,positive
UK. Bringing #PurposeTour next summer to Cardiff and London https://t.co/vBknuqb076 https://t.co/FnqmtoZ5hK,16/12/2016 15:38,joy,positive
Thank you https://t.co/b1VJ3Tldy0,13/12/2016 03:28,joy,positive
That time of the year. Mistletoe is currently the most streamed UMG song on Spotify. Thanks https://t.co/pJolWSeUmT,09/12/2016 19:14,joy,positive
North America 2017 #PurposeTour stadiums on sale now. See u soon https://t.co/JdlUdme7r3 https://t.co/yIM2KdtQJz,09/12/2016 18:06,joy,positive
Good times boys https://t.co/qMz9BPpUpB,08/12/2016 18:51,joy,positive
2nd show added in Toronto. Pre-sale code 'LOVEYOU' for #PurposeTour stadiums. On sale tomorrow https://t.co/xqTwvUPl1G,08/12/2016 18:47,joy,positive
Love seeing my little guy raising money for the kids. Congrats Cruz. Nice one https://t.co/bnqJRFaqy0,08/12/2016 18:47,joy,positive
Congrats buddy. Let's keep changing lives :) https://t.co/VZeZWJsovz,08/12/2016 18:38,joy,positive
Thank you,07/12/2016 07:34,joy,positive
#AmexPresale for #PurposeTour stadiums up now thru 12/8 for @AmericanExpress Card Members https://t.co/XAS9DG0m58,06/12/2016 18:01,joy,positive
