tweet,date_time,real_distilbert_sentiment,real_sentiment
Is history repeating itself...?#DONTNORMALIZEHATE https://t.co/ngG11quhmK,12/01/2017 19:52,anger,negative
@barackobama Thank you for your incredible grace in leadership and for being an exceptional… https://t.co/ZuQLZpt6df,11/01/2017 08:38,joy,positive
Life goals. https://t.co/XIn1qKMKQl,11/01/2017 02:52,joy,positive
Me right now 🙏🏻 https://t.co/gW55C1wrwd,11/01/2017 02:44,joy,neutral
SISTERS ARE DOIN' IT FOR THEMSELVES! 🙌🏻💪🏻❤️ https://t.co/0shuUYUBEv,10/01/2017 05:22,joy,positive
happy 96th gma #fourmoreyears! 🎈 @ LACMA Los Angeles County Museum of Art https://t.co/M9n7X8xdmA,09/01/2017 01:00,joy,positive
"Kyoto, Japan 
1. 5. 17. https://t.co/o28M0vw9lR",06/01/2017 03:57,joy,neutral
🇯🇵 @ Sanrio Puroland https://t.co/eXVev5UMBx,02/01/2017 09:31,joy,positive
2017 resolution: to embody authenticity!,01/01/2017 03:31,joy,positive
sisters. https://t.co/5ZE21x2aNk,27/12/2016 04:04,joy,positive
Happy Holidays! Sending love and light to every corner of the earth 🎁,25/12/2016 20:35,joy,positive
"Damn, it's hard to wrap presents when you're drunk. cc @santa",25/12/2016 05:45,joy,neutral
When my whole fam tryna have a peaceful holiday 💁🏻hehehe https://t.co/fEyq3hzdlz,24/12/2016 16:26,joy,positive
When your holiday shopping is woke af ❗️blklivesmatter https://t.co/srZZj7vHyc https://t.co/KWVYi8yi8L,23/12/2016 18:42,joy,positive
@shannonwoodward Have you been hacked,23/12/2016 02:22,fear,neutral
This week Santa and I got to spread some cheer and have a carol sing-a-long with some beautiful… https://t.co/vL1BIj4sCZ,21/12/2016 23:05,joy,positive
Love the music therapy program at CHLA! https://t.co/XPTZrF3XXA,21/12/2016 22:42,joy,positive
For real tho https://t.co/jxMV9Q6WCs,16/12/2016 08:24,joy,neutral
I can't wait to recreate this on a tour we do together in the next 10 years pls thnx https://t.co/PQz0nCUNV6,07/12/2016 09:03,joy,positive
I wanna adopt him ILHSM https://t.co/5Sr9wHnIEY,07/12/2016 02:35,joy,positive
@jessesaintjohn imma make a best of 16' Spotify playlist and half of these are on there. I love our taste.,06/12/2016 09:56,joy,positive
@jessesaintjohn @kanyewest FADE DOE,06/12/2016 09:54,joy,neutral
"Omg deep cut, agreed https://t.co/0yGlkuo3bJ",06/12/2016 09:53,joy,positive
Same https://t.co/98vBUp7BzI,06/12/2016 09:52,joy,neutral
Fully https://t.co/Iii4a58tPN,06/12/2016 09:52,joy,neutral
PROOF THAT YOUR VOICE ACTUALLY MATTERS! 🙏🏼🙌🏼💪🏼😭 https://t.co/tAwL0a9y9E,04/12/2016 22:21,joy,positive
This holiday season be the girl that takes jump photos at the mall ☑️ wears activewear at night… https://t.co/0eGYnKF5fk,04/12/2016 07:58,joy,positive
"Slowly, I am coming down from the beautiful cloud that was Tuesday night's unicef Snowflake… https://t.co/Bia5wug56I",01/12/2016 20:33,joy,positive
I dare you to find a better live vocal performance than this timeless masterpiece: https://t.co/J1gW29kC7J #jenniferholliday,01/12/2016 07:08,joy,positive
This #Thanksgiving #IStandWithStandingRock text WATER to 82623 to help now! Sign the petition here: https://t.co/GFhQKfsB0i,24/11/2016 22:31,joy,positive
"On #Thanksgiving, a day with complex origins, I want to speak up in support of the Standing Rock… https://t.co/CKyB7H3LCD",24/11/2016 22:14,joy,positive
"Heading into my family 🦃-Day, I'm mindful about building a bridge thru peaceful convo. Try this guide from @nytimes: https://t.co/mzBbNw1ZHD",23/11/2016 22:16,joy,positive
great tweet 🏆 https://t.co/Z6QeywsBpt,21/11/2016 19:41,joy,positive
". @realDonaldTrump how bout you start with an apology for your divisive, racist, xenophobic rhetoric?
#thanksgivingdayclapback",19/11/2016 19:08,anger,negative
Caught a big one this week 🎣 ...,19/11/2016 08:23,joy,neutral
Let it be known!  https://t.co/AXmAjmNMgc,19/11/2016 06:28,joy,positive
Back to work because: ALL OF THE ABOVE 💪🏼 https://t.co/dUvh7jN8Oi,17/11/2016 07:40,joy,positive
Operate in the light.,16/11/2016 23:05,joy,positive
Confused? Overwhelmed? Here's the brief you need to get the gist: https://t.co/4dwGgeRwMT,14/11/2016 17:34,joy,neutral
At midnight we MANIFEST ✨🌚✨,14/11/2016 07:44,joy,positive
YES LA KEEP LEADING THE WAY ❤️ https://t.co/4LcjvCDJ4U,13/11/2016 05:02,joy,positive
"It's time to turn words into action❗️There are so many steps to take, but my first vow is to… https://t.co/1DwETGXbed",12/11/2016 01:19,joy,positive
"Thank you to the men and women protecting Freedom, Liberty, and Equality for all. 🙏🏼🇺🇸 https://t.co/0LcB7VYDrx",11/11/2016 19:55,joy,positive
"From Pastor John Pavlovitz ""This is not about losing an election"" https://t.co/vVxyZvkyYI",11/11/2016 04:51,sadness,neutral
Lets also work on the hearts and minds of this country and that is how real change will begin.,11/11/2016 04:02,joy,positive
"Remember to take care of your mental health. Talk with counselors/therapists/ur tribe. Lean on your friends, don't stop communicating.",11/11/2016 04:00,joy,positive
We need more courageous men like this to speak up and say that there is GREAT examples of men out there: https://t.co/daRuHfysSm,10/11/2016 08:30,joy,positive
🙏🏼🇺🇸PEACEFULLY PROTEST🇺🇸🙏🏼,10/11/2016 06:33,joy,positive
Fight for what is RIGHT.,09/11/2016 16:55,anger,positive
Do not sit still. Do not weep. MOVE. We are not a nation that will let HATE lead us.,09/11/2016 08:15,anger,positive
WE WILL NEVER BE SILENCED. #LOVETRUMPSHATE,09/11/2016 08:13,anger,positive
POWER TO THE PEOPLE,09/11/2016 08:10,joy,positive
RISE UP,09/11/2016 08:03,anger,positive
THE REVOLUTION IS COMING.,09/11/2016 05:46,anger,positive
WE WILL NEVER BE SILENCED.  https://t.co/Co4CYBXg8j,09/11/2016 05:43,anger,positive
Gonna cry my false eye lashes off tonight. ❤️🙏🏼🇺🇸,09/11/2016 00:33,sadness,neutral
Throw back to Oct 25th when I gave myself the best bday prezzy ever by voting for my girl… https://t.co/i68TG6Ixi1,08/11/2016 21:47,joy,positive
HOPE YOU ARE ROARING YOUR WAY TO THE POLLS STILL! 👊🏼🦁🐯❤️🇺🇸: https://t.co/tNQit6ZIA6,08/11/2016 20:04,joy,positive
"✔️ote #Yeson64! Let's rewrite our narrative California❗️

https://t.co/myS49evfEf by @dreamhampton",08/11/2016 18:24,joy,positive
