tweet,date_time
"My new fragrance #RiRiKiss is available now, look for it @macys! Order it here —&gt; https://t.co/mcj5k6a2L1 https://t.co/qWP0Kpbkuf",16/01/2017 14:20
"Navy, get a chance at prizes from #FENTYXPUMA, Dior, and more when you donate to the @ClaraLionelFdn until tomorrow… https://t.co/jYvbcKpYiT",04/01/2017 00:33
Donate to @claralionelfdn &amp; you can win all of #THECREEPER styles + a pair designed by you and me!… https://t.co/qEldsrPMQB,21/12/2016 23:55
For my biggest fans! Collector's edition of all 8 records on vinyl is out now: https://t.co/0j7B1pRss4 https://t.co/yTSvXYzSQ0,17/12/2016 01:18
#THECREEPER is available in Velvet today! Creeper headz get the look in 3 new colorways now —&gt;… https://t.co/2tm65GMDOI,08/12/2016 17:39
Teamed up with Prince Harry &amp; got tested to raise awareness for #WorldAIDSDay. It's so easy to get tested &amp; know yo… https://t.co/cNj90ze2Ch,01/12/2016 19:16
#Election2016 #ElectionDay #ImWithHer https://t.co/65zBtxNMBB,08/11/2016 22:49
Mumz just asked for 2 chicken wings and water 😂😂😂 right after asking if I watched Rob&amp;Chyna dis week! 🙈,12/10/2016 03:39
Looking back at my #FENTYXPUMA show. Paris was so much fun!!! https://t.co/gePTK7deWU,07/10/2016 19:09
My heart absolutely breaks for Haiti 🇭🇹 !!! Prayers up for my brothers and sisters who've fallen victim to this tragic event! 🙏🏿,05/10/2016 01:38
Retweet or use #VoteCano to vote @robinsoncano for the Roberto Clemente award Good luck bro!,01/10/2016 19:38
THANK U from the bottom of my heart! https://t.co/zrBxwMLrRQ,29/09/2016 18:02
This made me so happy!! Check out what Vogue had to say about #FENTYxPUMA SS17 --&gt; https://t.co/2xNZqwDi0G,29/09/2016 17:51
#THECREEPER original colorways are back at your RIHquest! Get them here right now: https://t.co/GAkFFgYA0O… https://t.co/DPXoSVIBVs,29/09/2016 14:01
We go live any minute now!! Tune in for my @PUMA collection on @TIDALHiFi https://t.co/1S5oLAzQAK #FENTYXPUMA… https://t.co/ZGqlToHuM2,28/09/2016 17:17
Fashion party 🤗 https://t.co/Cil0vYStAX,28/09/2016 16:51
WoOoOo #FENTYXPUMA SS17 premieres today at #PFW!! Stream the show at 7:30PM paris time on @TIDALHiFi… https://t.co/No4nrDKcgd,28/09/2016 13:38
Getting ready for #FENTYxPUMA show tomorrow in Paris!! Can't wait for you to see it! Tune in @TIDALHiFi… https://t.co/fhQZ9aXagQ,27/09/2016 19:49
"thank you @JuliaGillard! Proud to stand for education with you! @GPforEducation @GlblCtzn @ClaraLionelFdn, let's get to work!",24/09/2016 01:06
"Honored to join @GPforEducation &amp; @GlblCtzn team! Together w/@ClaraLionelFDN, we'll
make education accessible for a… https://t.co/4LL1dD5qiO",24/09/2016 01:03
.@VALLINIAndre @fhollande This is great news! Looking forward to it!,23/09/2016 17:59
.@fhollande Did you see my letter? Waiting on your answer! We need your leadership on #EducationCannotWait,22/09/2016 20:25
I’m a #GlobalCitizen. Join me 9/24 at #GCFestival in NYC's Central Park. Take action for tix:https://t.co/cUXrkrVecp https://t.co/uZzUDxQqkt,18/09/2016 19:38
The originals are back!!! #THECREEPER returns on September 29th in the original color ways! https://t.co/n8l0zeKJFV,15/09/2016 18:46
Call up @JustinTrudeau to make a change! Follow the link to earn points for #GCFestival tix: https://t.co/hVaLIj1Tex https://t.co/5BzUFq41SR,09/09/2016 18:35
Find this spot in Brooklyn! 1st 500 to #ShowUp 4:30-7 today win free tix to see me at #GCFestival Central Park 9/24! https://t.co/xsNPNusEVA,07/09/2016 14:00
NEW YORK who’s heading to #FENTYXPUMA pop up at @SIX02 33rd st?! Come shop with me at 7PM! https://t.co/0pdAU7BVlR,06/09/2016 21:20
First round of my #FENTYXPUMA collection hits stores today!! https://t.co/GAkFFgYA0O https://t.co/ZUxHJypJ3N,06/09/2016 16:02
Pull up Philly! Exclusive merch on sale at #MadeInAmerica https://t.co/ZyRi1kmkwZ https://t.co/0AyfzLFxNK,03/09/2016 20:55
The time to change is now!! Take action &amp; enter to win VIP tix + meet &amp; greet at #GCFestival→https://t.co/jRXsEbsKGY https://t.co/j1e1ynjKCQ,02/09/2016 14:01
Yoooo I'm livin for dese Rhenna stickers 😂! #TBT https://t.co/hNdFY2dqzR,02/09/2016 05:05
#RhennaVanguard #VMAs https://t.co/vReFC4tvqg,02/09/2016 05:03
#RhennaVanguard #VMAs https://t.co/FMzNS4dzjQ,02/09/2016 04:51
"1 down, 3 to go! #VMAs #RiRiVanguard https://t.co/rfJbQNxHdb",29/08/2016 01:40
