tweet,date_time,real_distilbert_sentiment, real_sentiment
"I love you, Christina. https://t.co/p2vUWvjbh0",2016-08-13 23:15:00,positive,joy
"Such a memorable show in Sydney tonight.. I'll never forget this one. Thanks for singing along with me-woke up with a sore throat 😕 I LOVE U",2016-08-09 16:23:00,positive,joy
"After years of work from so many incredible people -I'm getting so excited/emotional about our show 13 Reasons Why https://t.co/qhk6VWeFaV",2016-08-03 08:59:00,positive,joy
"Big news! I’m playing this year’s #GCFestival 9/24. Take action to earn your tickets https://t.co/Yxz04A6IcK https://t.co/YIuiG0Uole",2016-07-26 15:56:00,positive,joy
"I asked all my friends and family to make a donation for my birthday. If you want to, would love you for to join 💜 https://t.co/4M1SoL1GWR",2016-07-23 02:00:00,positive,joy
"Did this on my birthday... coming soon. Thank you for all the love. I love you guys, God bless https://t.co/4Pb5usx2Pk",2016-07-23 01:34:00,positive,joy
"This industry is so disappointing yet the most influential smh",2016-07-18 05:05:00,negative,sadness
"Truth is last thing we need right now is hate, in any form",2016-07-18 04:36:00,negative,anger
"There are more important things to talk about... Why can't people use their voice for something that fucking matters?",2016-07-18 04:31:00,negative,anger
"Sorry I missed you Madeleine! Was on the phone with my momma! Love you baby girl ❤️ https://t.co/duBVsG0GSa",2016-07-13 20:10:00,positive,joy
"The reason I do what I do https://t.co/YDu4r5Eijv",2016-07-12 04:16:00,positive,joy
"I've got my very own @snapchat #LiveStory from @revivaltour! Watch it here or in the app:  https://t.co/a5RXToYdwR 👻 https://t.co/CqSadIKmd1",2016-07-07 01:44:00,positive,joy
"Here is 'Hands' a musical tribute to benefit Orlando victims &amp; <br>LGBT orgs. #ForThe49 https://t.co/fSwa8ytIOJ ❤️💛💚💜💙 https://t.co/AHRLbuBfgY",2016-07-06 18:43:00,positive,joy
"Love my #BigSlickKC fam! Get your tshirt at https://t.co/S7Z5snOxS2 https://t.co/FhXcAmlb8A",2016-07-05 18:25:00,positive,joy
"Get the limited edition #GomezOrGoHome shirt in the Revival store now!!🌹 https://t.co/4dfxu0NgJx https://t.co/XBDWrry79N",2016-06-27 23:56:00,positive,joy
"After a few weeks in the studio bus safe to say.. we are VERY close to album #2 #SG2 https://t.co/kWFg7ZdBPp",2016-06-24 17:26:00,positive,joy
"Cancel your plans. Today is the day! The Fundamentals of Caring is out on @Netflix. Enjoy the ride- https://t.co/KEI1d5Alvf",2016-06-24 15:03:00,positive,joy
"When women support each other, we accomplish amazing things. Celebrate the women who #LeanIntogether with you: https://t.co/LBKG46rHNM",2016-06-23 16:31:00,positive,joy
"What's that? My new film The Fundamentals of Caring comes out on @Netflix Friday?!?! https://t.co/avyRGZ1I6M",2016-06-22 19:20:00,positive,joy
"So excited to share this!! Had so much fun @JKCorden https://t.co/8zWmi5kGzO https://t.co/7EAY8qpMQC",2016-06-21 17:01:00,positive,joy
"Just in time for the weekend!! Listen to #KillEmWithKindness on @Spotify’s Today’s Top Hits playlist. 🎧 https://t.co/d5gPNUDQ0h",2016-06-19 02:42:00,positive,joy
"Happy to finally share my first @LouisVuitton campaign --thank you and love you Nicolas Ghesquiere<br>📸 Bruce Weber https://t.co/i6PqSsTjwr",2016-06-17 17:57:00,positive,joy
"My heart is absolutely broken. I miss you Christina https://t.co/KWGwZZlj4t",2016-06-11 16:57:00,negative,sadness
"This is my revival https://t.co/B1rouH0ufj",2016-06-06 19:38:00,positive,joy
"It’s here! Watch the video for #KillEmWithKindness now!!💋 https://t.co/7F6pa5taQm https://t.co/eRaxc9tnGk",2016-06-06 16:12:00,positive,joy
"Put down the weapons you fight with- #KillEmWithKindness video TOMORROW at 9am PT! 💋 https://t.co/bDfKNe0vek",2016-06-05 16:05:00,positive,joy
"#KillEmWithKindness Coming Monday!!💋 https://t.co/qWTPwCruV9",2016-06-05 00:10:00,positive,joy
"The new Revival Tour merch is here… 😍 https://t.co/lJVbnFnyOQ https://t.co/q3MBwOT0lZ",2016-06-03 22:40:00,positive,joy
"Who's up for a road trip? https://t.co/OuGL5lv6AJ Check out The Fundamentals of Caring on @Netflix June 24!",2016-05-31 20:08:00,positive,joy
"My first cover for @voguebroficial with @louisvuitton https://t.co/KJkBH1RNIK",2016-05-24 21:25:00,positive,joy
"I wanna see you #killemwithkindness! Show me your @musicallyapp vids &amp; I'll share my favs. 💋 https://t.co/jC778YkqeX https://t.co/yRULsmSrCP",2016-05-24 17:35:00,positive,joy
"Join the @RevivalTour mobile list for special surprises from me throughout the tour! 💌 https://t.co/4rgKoDe3S0 https://t.co/iVIO9FezGs",2016-05-23 20:06:00,positive,joy
"Check out the @RevivalTour Playlist on @SpotifyUSA ft. @DNCE, @BeaMiller, @Bahari &amp; me! 🎶 https://t.co/Msx8B8iOwc https://t.co/T9V6IAunhY",2016-05-20 17:08:00,positive,joy
"😻🙋🏼 https://t.co/RhqHA6QtbO",2016-05-20 04:39:00,positive,joy
"#killemwithkindness -one day they'll get it lol",2016-05-13 01:58:00,neutral,neutral
