tweet,date_time,real_sentiment,real_distilbert_sentiment
"#LiveByNight is out now! Check out the guy in the back with the really strong vest game, @austinswift7 😁 https://t.co/bRBRTLB7Sb",14/01/2017 02:28,joy,positive
HAPPY Z DAY https://t.co/8d2eckMDsK,13/01/2017 01:25,joy,positive
"#fiftyshadesdarker #idontwannaliveforever https://t.co/Q51nqZ4ppX",09/12/2016 04:27,sadness,neutral
"Z | T | 50 @fiftyshades #fiftyshadesdarker @itunes https://t.co/m4meFS4F79",09/12/2016 04:17,neutral,neutral
"YES @Drake 👍💪✨ #drakevsbenchpress https://t.co/pZCQUaX8Mm",21/11/2016 04:09,joy,positive
Today is the day. Go out and VOTE 🇺🇸 https://t.co/NdJ0OeiuUH,08/11/2016 17:10,joy,positive
HI #1 @littlebigtown https://t.co/PYSYDMZlHM,03/11/2016 04:23,joy,positive
Feeling really honored... https://t.co/SlxoWgxBBQ,01/11/2016 18:33,joy,positive
❤️ https://t.co/TL9xT3Lavj,10/10/2016 15:52,joy,positive
"Thanks @ATT, this is gonna be fun https://t.co/dS0qPTIutF",04/10/2016 13:35,joy,positive
"Spending today with my family, thinking of those families who lost someone 15 years ago. We'll always remember. #NeverForget911",11/09/2016 18:43,sadness,neutral
"Sending my biggest congratulations to Simone, Aly, Laurie, Gabby and Madison! YOU DID IT GIRLS!! 🇺🇸 #FinalFive",10/08/2016 19:48,joy,positive
"That moment when Kanye West secretly records your phone call, then Kim posts it on the Internet. https://t.co/4GJqdyykQu",18/07/2016 04:24,anger,negative
With a heavy heart... https://t.co/Dd1M0b7G1P,17/06/2016 22:24,sadness,negative
One of my favorite people in the world turns 30 today! I LOVE YOU @lenadunham ❤️ https://t.co/8DNm1QPLvU,13/05/2016 20:39,joy,positive
"Dance like no one's watching @AppleMusic @thedarkness https://t.co/QfX9l0EXX7",12/05/2016 12:37,joy,positive
Really good times last night. 🎉 https://t.co/CNU16p83MX,11/05/2016 20:14,joy,positive
"Last night BMI gave me an award called the Taylor Swift Award, which was very nice of them. https://t.co/RKH4NrNOG5",11/05/2016 20:11,joy,positive
WOAH thanks @voguemagazine for the cover and Theo Wenner for taking this photo at Met Gala! What a night ✨ https://t.co/b12sYNDR9i,09/05/2016 21:05,joy,positive
"Getting ready to go out… @AppleMusic @JimmyEatWorld https://t.co/vq8LCFOuCO",18/04/2016 12:08,joy,positive
BLEACHELLA. https://t.co/TwozyjEsgl,15/04/2016 20:10,joy,positive
"Come to the party, they said It will be fun, they said https://t.co/9jXvtDljZB",15/04/2016 05:50,joy,positive
Thank you so much for taking these sick photos and changing up my usual vibessss @mertalasmarcus!! @voguemagazine https://t.co/ztRVVPCcBH,15/04/2016 02:10,joy,positive
Thank you @jasongay for hanging out with me and @BritMaack at her wedding!! Read his awesome Vogue cover story:https://t.co/CIJWpEyNdW,15/04/2016 02:06,joy,positive
Thanks @voguemagazine! I love this one. https://t.co/FoNLCNuPFC,14/04/2016 16:23,joy,positive
"The best people in life are free. #NewRomantics https://t.co/qpp4HneyVX https://t.co/aYZ4iiJgnU",06/04/2016 16:44,joy,positive
What an unbelievable run we've had with 1989. I'm so grateful for all of these memories & all of you. #iHeartAwards https://t.co/zGNnFEg6tZ,04/04/2016 06:16,joy,positive
Headed to the #iHeartAwards now!!,03/04/2016 23:22,joy,positive
"Based on true events. #TAYLORvsTREADMILL @applemusic @Drake @1Future https://t.co/ryUY3Yz7Pr https://t.co/1eIHjoVIFU",01/04/2016 12:38,joy,positive
"GROUND YOURSELF. @austinswift7 https://t.co/mkUQYeto0i",27/03/2016 01:38,joy,positive
"A devastating loss. @austinswift7 https://t.co/ok021VmIEn",27/03/2016 01:25,sadness,negative
"Easter Egg Battles 2016 @austinswift7 https://t.co/Nv85oxoBQj",27/03/2016 01:19,joy,positive
Dogs tho. https://t.co/h0uiMM6JO2,17/03/2016 18:52,joy,positive
"HAPPY BIRTHDAY AUSTIN!!!!! Thanks for 24 years of LOLs. @austinswift7 https://t.co/ruTohXcwWO",11/03/2016 23:57,joy,positive
"So grateful and inspired today! Take the Pledge For Parity at https://t.co/nQosDLJSY2 #HappyInternationalWomensDay https://t.co/MkZJfa5I7Y",08/03/2016 18:07,joy,positive
